Date,Open,High,Low,Close,Volume,OpenInt
2012-01-03,8.25,8.3,7.5,7.55,6364,0
2012-01-04,7.75,8.15,7.7,7.85,6287,0
2012-01-05,8.05,9.2,7.55,8.5,6839,0
2012-01-06,8.95,9.15,8.5,8.65,4881,0
2012-01-09,9,9,8.55,8.75,2906,0
2012-01-10,8.9,10.5,8.55,9.05,7607,0
2012-01-11,9.45,9.45,8.8,9.05,4188,0
2012-01-12,9,9.25,8.75,9,1040,0
2012-01-13,9.45,11.4,7.8,9,1852,0
2012-01-17,9.75,9.75,8.7,8.95,1321,0
2012-01-18,8.6,9.7,8.6,9.7,1924,0
2012-01-19,8.95,10.7,8.95,10.7,5184,0
2012-01-20,10.65,10.65,9.8,10.1,3102,0
2012-01-23,9.8,9.85,9.2,9.8,2306,0
2012-01-24,9.6,9.9,8.9,8.9,8026,0
2012-01-25,9.3,10.75,9,10.7,4410,0
2012-01-26,10.5,10.5,9.3,9.5,3726,0
2012-01-27,9.3,10.2,9.25,9.75,1844,0
2012-01-30,9.5,10.35,9.5,10.35,2247,0
2012-01-31,9.65,10.3,9.5,10.25,3421,0
